Time,Core0,Core1,HW Acc
0,I1_SD_READ,,
23.18,I1_LD_Y,I1_LD_CB,
38.56,I1_LD_Y,I1_LD_CR,
49.24,I1_L1_FLUSH,I1_LD_CR,
49.27,I2_SD_READ,I1_LD_CR,
53.39,I2_SD_READ,I1_FLUSH,
54.11,I2_SD_READ,I1_DMA_START_Y,
54.11,I2_SD_READ,,I1_IDCT_Y
59.59,I2_SD_READ,I1_DMA_POLL_Y,
59.59,I2_SD_READ,I1_DMA_START_CB,
59.59,I2_SD_READ,,I1_IDCT_CB
65.07,I2_SD_READ,I1_DMA_POLL_CB,
65.07,I2_SD_READ,I1_DMA_START_CR,
65.07,I2_SD_READ,,I1_IDCT_CR
70.55,I2_SD_READ,I1_DMA_POLL_CR,
70.55,I2_SD_READ,I1_CC_8735,
72.45,I2_LD_Y,I1_CC_8735,
98.51,I2_LD_CB,I1_CC_8735,
99.19,I2_LD_CB,I2_LD_CR,
113.89,I2_L1_FLUSH,I2_LD_CR,
113.92,I1_CC_1524,I2_LD_CR,
114.02,I1_CC_1524,I2_FLUSH,
114.74,I1_CC_1524,I2_DMA_START_Y,
114.74,I1_CC_1524,I1_CC_1671,I2_IDCT_Y
118.92,I1_L1_FLUSH,I1_CC_1671,I2_IDCT_Y
118.95,P3_SD_READ,I1_CC_1671,I2_IDCT_Y
120.22,P3_SD_READ,,I2_IDCT_Y
120.22,P3_SD_READ,I2_DMA_POLL_Y,
120.22,P3_SD_READ,I2_DMA_START_CB,
120.22,P3_SD_READ,I1_CC_1671,I2_IDCT_CB
125.7,P3_SD_READ,,I2_IDCT_CB
125.7,P3_SD_READ,I2_DMA_POLL_CB,
125.7,P3_SD_READ,I2_DMA_START_CR,
125.7,P3_SD_READ,I1_CC_799,I2_IDCT_CR
128.32,P3_SD_READ,I1_BUFF_REG,I2_IDCT_CR
129.02,P3_LD_Y,I1_BUFF_REG,I2_IDCT_CR
131.18,P3_LD_Y,,I2_IDCT_CR
131.18,P3_LD_Y,I2_DMA_POLL_CR,
131.18,P3_LD_Y,I2_CC_6316,
135.94,P3_LD_CB,I2_CC_6316,
139.77,P3_LD_CR,I2_CC_6316,
142.92,P3_FLUSH,I2_CC_6316,
143.18,I2_CC_3943,I2_CC_6316,
151.88,I2_CC_3943,P3_DMA_START_Y,
151.88,I2_CC_3943,I2_CC_1671,P3_IDCT_Y
156.1,I2_L1_FLUSH,I2_CC_1671,P3_IDCT_Y
156.13,P4_SD_READ,I2_CC_1671,P3_IDCT_Y
157.36,P4_SD_READ,,P3_IDCT_Y
157.36,P4_SD_READ,P3_DMA_POLL_Y,
157.36,P4_SD_READ,P3_DMA_START_CB,
157.36,P4_SD_READ,I2_CC_1671,P3_IDCT_CB
162.84,P4_SD_READ,,P3_IDCT_CB
162.84,P4_SD_READ,P3_DMA_POLL_CB,
162.84,P4_SD_READ,P3_DMA_POLL_CR,
162.84,P4_SD_READ,I2_CC_799,P3_IDCT_CR
165.46,P4_SD_READ,I2_BUFF_REG,P3_IDCT_CR
166.2,P4_LD_Y,I2_BUFF_REG,P3_IDCT_CR
168.32,P4_LD_Y,,P3_IDCT_CR
168.32,P4_LD_Y,P3_DMA_POLL_CR,
168.32,P4_LD_Y,,
173.12,,,
490.73,P13_SD_READ,,
500.8,P13_LD_Y,,
502.65,P13_LD_Y,P13_LD_CB,
506.48,P13_LD_Y,P13_LD_CR,
507.72,P13_L1_FLUSH,P13_LD_CR,
507.74,P12_CC_6387,P13_LD_CR,
509.63,P12_CC_6387,P13_FLUSH,
509.89,P12_CC_6387,P13_DMA_START_Y,
509.89,P12_CC_6387,P12_CC_1671,P13_IDCT_Y
515.36,P12_CC_6387,,P13_IDCT_Y
515.37,P12_CC_6387,P13_DMA_POLL_Y,
515.37,P12_CC_6387,P13_DMA_START_CB,
515.37,P12_CC_6387,P12_CC_1671,P13_IDCT_CB
520.84,P12_CC_6387,,P13_IDCT_CB
520.85,P12_CC_6387,P13_DMA_POLL_CB,
520.85,P12_CC_6387,P13_DMA_START_CR,
520.85,P12_CC_6387,P12_CC_1671,P13_IDCT_CR
526.32,P12_CC_6387,,P13_IDCT_CR
526.33,P12_CC_6387,P13_DMA_POLL_CR,
526.33,P12_CC_6387,P12_CC_3000,
528.68,P12_L1_FLUSH,P12_CC_3000,
528.7,P13_CC_3000,P12_CC_3000,
536.16,P13_CC_3000,P12_BUFF_REG,
538.53,P13_L1_FLUSH,P12_BUFF_REG,
538.55,,P12_BUFF_REG,
539.02,,P13_CC_5735,
541.67,I1_SD_READ,P13_CC_5735,
557.82,I1_SD_READ,P13_CC_1524,
562.82,I1_SD_READ,,
564.85,I1_LD_Y,I1_LD_CB,
580.23,I1_LD_Y,I1_LD_CR,
590.91,I1_L1_FLUSH,I1_LD_CR,
590.94,I2_SD_READ,I1_LD_CR,
595.06,I2_SD_READ,I1_FLUSH,
595.78,I2_SD_READ,I1_DMA_START_Y,
595.78,I2_SD_READ,P13_CC_1671,I1_IDCT_Y
601.25,I2_SD_READ,,I1_IDCT_Y
601.26,I2_SD_READ,I1_DMA_POLL_Y,
601.26,I2_SD_READ,I1_DMA_START_CB,
601.26,I2_SD_READ,P13_CC_1671,I1_IDCT_CB
606.73,I2_SD_READ,,I1_IDCT_CB
606.74,I2_SD_READ,I1_DMA_POLL_CB,
606.74,I2_SD_READ,I1_DMA_START_CR,
606.74,I2_SD_READ,P13_CC_799,I1_IDCT_CR
609.36,I2_SD_READ,P13_BUFF_REG,I1_IDCT_CR
612.22,I2_SD_READ,,I1_IDCT_CR
612.22,I2_SD_READ,I1_DMA_POLL_CR,
612.22,I2_SD_READ,,
